area,name,lat,long,status,note
鎌倉市,1-1,35.3218603,139.5800409,0,十二所114番地:森宅ブロック塀
鎌倉市,1-2,35.3198913,139.5799112,0,十二所98番地1:金田宅塀
鎌倉市,1-3,35.3164438,139.5765431,0,浄明寺六丁目2番:浄明寺六丁目7番9号脇緑地
鎌倉市,1-4,35.3163116,139.5780032,0,十二所967番地:十二所公園フェンス
鎌倉市,1-5,35.3136922,139.568264,0,浄明寺六丁目18番:（仮称）浄明寺緑地前［浄明寺六丁目16番付近］
鎌倉市,1-6,35.3164438,139.5765431,0,浄明寺六丁目2番:（仮称）浄明寺緑地前［ハイランド坂下バス停前緑地］
鎌倉市,1-7,35.31944,139.5771361,0,十二所943番地1:ニツ橋児童遊園フェンス
鎌倉市,2-1,35.3254193,139.5689307,2,二階堂792番地4:資材置場塀
鎌倉市,2-2,35.3236629,139.5655039,2,二階堂878番地:第二小学校フェンス
鎌倉市,2-3,35.3236629,139.5655039,2,二階堂878番地:第二小学校体育館前植込み
鎌倉市,2-4,35.3254728,139.5668441,2,二階堂115番地:岩崎宅フェンス
鎌倉市,2-5,35.3297193,139.5712889,2,二階堂321番地1:大塔宮パス停付近横断防止柵
鎌倉市,2-6,35.3180229,139.5693784,2,浄明寺二丁目572-3地内:犬懸橋南滑川転落防止柵
鎌倉市,2-7,35.3305939,139.5676073,2,二階堂257番地5:二階堂2号緑地
鎌倉市,3-1,35.3276198,139.5599861,1,西御門一丁目8番:国大附属中西御門運動場前植込み
鎌倉市,3-2,35.3248514,139.561502,2,雪ノ下三丁目11番45号:清泉小学校北側倉庫前フェンス
鎌倉市,3-3,35.3243984,139.5581486,4,雪ノ下三丁目5番10号:平野宅前国大附属小学校生垣
鎌倉市,3-4,35.3243984,139.5581486,5,雪ノ下三丁目5番10号:国大附属小学校フェンス
鎌倉市,3-5,35.3243984,139.5581486,6,雪ノ下三丁目5番10号:国大附属小学校石垣
鎌倉市,3-6,35.3242756,139.5524631,0,雪ノ下二丁目2番12号:川喜多映画記念館
