id,area_name,subarea_name,group1,group1_note,group2,group2_note,group3,group3_note,group4,group4_note,group5,group5_note,total_posting
1,足柄上郡山北町,足柄上郡山北町皆瀬川,98,,49,,24,,30,,204,,405
2,足柄上郡山北町,足柄上郡山北町岸,206,,200,,95,,81,,253,,835
3,足柄上郡山北町,足柄上郡山北町向原,16,,281,,107,,158,,163,,725
4,足柄上郡山北町,足柄上郡山北町山北,80,,0,,223,,270,,256,,829
5,足柄上郡山北町,足柄上郡山北町平山,299,,1,,46,,38,,90,,474
6,足柄上郡山北町,足柄上郡山北町玄倉,152,,229,,158,,65,,6,,610
7,足柄上郡松田町,足柄上郡松田町寄,47,,175,,103,,252,,158,,735
8,足柄上郡松田町,足柄上郡松田町松田庶子,162,,279,,36,,132,,240,,849
9,足柄上郡松田町,足柄上郡松田町松田惣領,60,,34,,74,,49,,130,,347
10,足柄上郡松田町,足柄上郡松田町神山,245,,248,,189,,128,,200,,1010
11,横浜市戸塚区,横浜市戸塚区影取町,120,,156,,213,,251,,267,,1007
12,横浜市戸塚区,横浜市戸塚区下倉田町,173,,125,,142,,19,,296,,755
13,横浜市戸塚区,横浜市戸塚区吉田町,49,,253,,138,,42,,203,,685
14,横浜市戸塚区,横浜市戸塚区汲沢,146,,185,,204,,238,,243,,1016
15,横浜市戸塚区,横浜市戸塚区汲沢町,140,,89,,136,,278,,279,,922
16,横浜市戸塚区,横浜市戸塚区原宿,39,,198,,156,,11,,19,,423
17,横浜市戸塚区,横浜市戸塚区戸塚町,184,,217,,78,,233,,217,,929
18,横浜市戸塚区,横浜市戸塚区秋葉町,179,,99,,286,,181,,68,,813
19,横浜市戸塚区,横浜市戸塚区小雀町,156,,14,,244,,293,,83,,790
20,横浜市戸塚区,横浜市戸塚区上倉田町,176,,291,,152,,177,,227,,1023
21,横浜市戸塚区,横浜市戸塚区上柏尾町,144,,60,,27,,148,,283,,662
22,横浜市戸塚区,横浜市戸塚区上品濃,226,,17,,7,,196,,10,,456
23,横浜市戸塚区,横浜市戸塚区上矢部町,191,,117,,250,,93,,88,,739
24,横浜市戸塚区,横浜市戸塚区深谷町,211,,42,,76,,205,,229,,763
25,横浜市戸塚区,横浜市戸塚区川上町,227,,106,,116,,152,,276,,877
26,横浜市戸塚区,横浜市戸塚区前田町,229,,106,,150,,211,,102,,798
27,横浜市戸塚区,横浜市戸塚区鳥が丘,119,,264,,20,,151,,156,,710
28,横浜市戸塚区,横浜市戸塚区東俣野町,216,,192,,177,,161,,287,,1033
29,横浜市戸塚区,横浜市戸塚区南舞岡,264,,79,,154,,39,,15,,551
30,横浜市戸塚区,横浜市戸塚区柏尾町,68,,280,,28,,14,,198,,588
31,横浜市戸塚区,横浜市戸塚区品濃町,186,,300,,226,,247,,206,,1165
32,横浜市戸塚区,横浜市戸塚区舞岡町,160,,247,,163,,135,,32,,737
33,横浜市戸塚区,横浜市戸塚区平戸,219,,206,,275,,5,,9,,714
34,横浜市戸塚区,横浜市戸塚区平戸町,112,,25,,164,,187,,27,,515
35,横浜市戸塚区,横浜市戸塚区俣野町,132,,281,,124,,124,,276,,937
36,横浜市戸塚区,横浜市戸塚区名瀬町,299,,7,,110,,5,,103,,524
37,横浜市戸塚区,横浜市戸塚区矢部町,50,,113,,148,,21,,228,,560
38,横浜市戸塚区,横浜市戸塚区汲沢1丁目,172,,207,,100,,231,,221,,931
39,横浜市戸塚区,横浜市戸塚区汲沢2丁目,191,,224,,296,,190,,113,,1014
40,横浜市戸塚区,横浜市戸塚区汲沢3丁目,153,,219,,233,,234,,8,,847
41,横浜市戸塚区,横浜市戸塚区汲沢4丁目,295,,226,,37,,200,,37,,795
42,横浜市戸塚区,横浜市戸塚区汲沢5丁目,161,,4,,230,,58,,249,,702
43,横浜市戸塚区,横浜市戸塚区汲沢6丁目,182,,33,,175,,145,,299,,834
44,横浜市戸塚区,横浜市戸塚区汲沢7丁目,112,,141,,50,,184,,147,,634
45,横浜市戸塚区,横浜市戸塚区汲沢8丁目,70,,174,,141,,73,,55,,513
46,横浜市戸塚区,横浜市戸塚区原宿1丁目,51,,217,,136,,37,,169,,610
47,横浜市戸塚区,横浜市戸塚区原宿2丁目,128,,161,,156,,230,,19,,694
48,横浜市戸塚区,横浜市戸塚区原宿3丁目,62,,94,,269,,5,,96,,526
49,横浜市戸塚区,横浜市戸塚区原宿4丁目,123,,8,,104,,133,,165,,533
50,横浜市戸塚区,横浜市戸塚区原宿5丁目,131,,153,,120,,284,,67,,755
51,横浜市戸塚区,横浜市戸塚区南舞岡1丁目,71,,202,,123,,108,,296,,800
52,横浜市戸塚区,横浜市戸塚区南舞岡2丁目,257,,17,,224,,138,,152,,788
53,横浜市戸塚区,横浜市戸塚区南舞岡3丁目,4,,222,,142,,228,,22,,618
